id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,lat,long,security,transport,health,education
21426,70,2,1,1,202000,2886,0,0,1,1,0,40.352078,-3.68556,0,101,16,7
21425,47,1,1,3,144000,3064,0,0,1,0,0,40.352078,-3.68556,0,101,16,7
21424,64,2,1,1,98968,1546,0,0,0,0,0,40.348469,-3.688701,0,101,16,7
21423,50,2,1,3,105000,2100,0,0,0,1,0,40.350646,-3.687417,0,101,16,7
21422,103,3,2,7,265000,2573,0,0,1,1,1,40.347473,-3.677021,0,34,6,4
21421,90,3,2,1,290000,3222,0,0,1,1,1,40.348068,-3.678233,0,34,6,4
21420,66,2,1,3,90000,1364,0,0,0,1,0,40.354038,-3.681361,0,34,6,4
21419,70,2,1,0,75000,1071,0,0,0,1,0,40.345771,-3.716469,2,127,22,7
21418,60,2,1,2,125000,2083,0,0,0,1,0,40.346126,-3.711302,2,127,22,7
21417,101,2,2,6,255000,2525,0,0,1,1,1,40.339455,-3.675555,0,34,6,4
21416,75,3,1,3,117300,1564,0,0,0,0,0,40.348645,-3.714392,2,127,22,7
21415,55,2,1,3,96600,1756,1,0,0,1,0,40.346864,-3.707521,2,127,22,7
21414,77,3,1,3,119000,1545,0,0,0,1,0,40.361526,-3.697122,1,94,18,4
21413,56,3,1,1,100000,1786,0,0,1,1,0,40.355037,-3.690745,0,101,16,7
21412,68,3,1,2,97000,1426,0,0,0,1,0,40.352281,-3.680845,0,34,6,4
21411,72,3,1,0,95000,1319,1,0,1,1,0,40.355037,-3.690745,0,101,16,7
21410,70,3,1,3,135000,1929,0,0,0,1,0,40.347454,-3.70502,2,127,22,7
21409,75,2,2,0,195000,2600,0,0,0,1,0,40.347746,-3.69042,0,101,16,7
21408,120,3,1,1,195000,1625,0,0,0,1,0,40.346648,-3.707866,2,127,22,7
21407,91,2,2,1,215000,2363,0,0,1,1,1,40.352412,-3.70709,2,127,22,7
21406,95,2,1,2,122000,1284,0,0,0,1,0,40.346386,-3.71299,2,127,22,7
21405,61,3,1,1,125000,2049,0,0,0,1,0,40.348759,-3.700667,1,94,18,4
21404,73,2,1,1,120000,1644,0,0,0,1,0,40.349299,-3.685857,0,101,16,7
21403,66,3,1,1,93000,1409,1,0,0,1,0,40.34594,-3.713267,2,127,22,7
21402,68,2,1,4,125000,1838,0,0,0,1,0,40.349189,-3.699902,1,94,18,4
21401,70,3,1,3,104840,1498,0,0,0,1,0,40.343968,-3.716581,2,127,22,7
21399,54,3,1,0,71000,1315,1,0,0,0,0,40.349241,-3.700559,1,94,18,4
21398,56,3,1,1,105000,1875,0,0,1,1,0,40.355037,-3.690745,0,101,16,7
21397,100,4,1,1,165000,1650,0,0,1,1,0,40.3536,-3.695369,1,94,18,4
21396,125,4,2,0,173000,1384,0,0,1,1,0,40.350728,-3.697965,1,94,18,4
21395,54,3,1,0,71000,1315,1,0,0,1,0,40.349241,-3.700559,1,94,18,4
21394,130,4,2,2,168000,1292,0,0,1,1,0,40.342888,-3.691711,0,20,6,3
21393,68,2,1,0,99900,1469,0,0,0,1,0,40.351646,-3.696196,1,94,18,4
21391,75,3,1,3,120000,1600,0,0,0,1,0,40.347841,-3.705651,2,127,22,7
21390,80,2,1,1,95000,1188,0,0,0,1,0,40.349463,-3.69962,1,94,18,4
21389,64,2,1,2,110000,1719,0,0,0,0,0,40.339972,-3.691259,0,20,6,3
21388,69,4,1,3,85900,1245,0,0,0,1,0,40.34155,-3.688185,0,20,6,3
21387,115,4,1,1,184900,1608,0,0,0,1,0,40.349065,-3.689543,0,101,16,7
21386,70,3,1,2,142500,2036,0,0,0,0,0,40.341706,-3.687633,0,20,6,3
21384,90,2,1,4,140000,1556,0,0,0,1,0,40.348741,-3.709679,2,127,22,7
21383,75,3,1,3,117300,1564,0,0,0,0,0,40.348645,-3.714392,2,127,22,7
21382,71,2,1,1,120000,1690,0,0,0,1,0,40.350495,-3.691291,0,101,16,7
21381,76,3,1,2,110000,1447,0,0,1,1,0,40.342722,-3.684104,0,20,6,3
